Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,0.0,0.0,NaN
1,2,2000.0,0.0,0.0,NaN
1,3,2000.0,0.0,0.0,NaN
1,4,2000.0,0.0,0.0,NaN
1,5,2000.0,0.0,0.0,NaN
1,6,2000.0,0.0,0.0,NaN
1,7,2000.0,0.0,0.0,NaN
1,8,2000.0,0.0,0.0,NaN
1,9,2000.0,0.0,0.0,NaN
1,10,2000.0,0.0,0.0,NaN
1,11,2000.0,0.0,0.0,NaN
1,12,2000.0,0.0,0.0,NaN
1,13,2000.0,0.0,0.0,NaN
1,14,2000.0,0.0,0.0,NaN
1,15,2000.0,0.0,0.0,NaN
1,16,2000.0,0.0,0.0,NaN
1,17,2000.0,0.0,0.0,NaN
1,18,2000.0,0.0,0.0,NaN
1,19,2000.0,0.0,0.0,NaN
1,20,2000.0,0.0,0.0,NaN
1,21,2000.0,0.0,0.0,NaN
1,22,2000.0,0.0,0.0,NaN
1,23,2000.0,0.0,0.0,NaN
1,24,2000.0,0.0,0.0,NaN
1,25,2000.0,0.0,0.0,NaN
1,26,2000.0,0.0,0.0,NaN
1,27,2000.0,0.0,0.0,NaN
1,28,2000.0,0.0,0.0,NaN
1,29,2000.0,0.0,0.0,NaN
1,30,2000.0,0.0,0.0,NaN
1,31,2000.0,0.0,0.0,NaN
1,32,2000.0,0.0,0.0,NaN
1,33,2000.0,0.0,0.0,NaN
1,34,2000.0,0.0,0.0,NaN
1,35,2000.0,0.0,0.0,NaN
1,36,2000.0,0.0,0.0,NaN
1,37,2000.0,0.0,0.0,NaN
1,38,2000.0,0.0,0.0,NaN
1,39,2000.0,0.0,0.0,NaN
1,40,2000.0,0.0,0.0,NaN
1,41,2000.0,0.0,0.0,NaN
1,42,2000.0,0.0,0.0,NaN
1,43,2000.0,0.0,0.0,NaN
1,44,2000.0,0.0,0.0,NaN
1,45,2000.0,0.0,0.0,NaN
1,46,2000.0,0.0,0.0,NaN
1,47,2000.0,0.0,0.0,NaN
1,48,2000.0,0.0,0.0,NaN
1,49,2000.0,0.0,0.0,NaN
1,50,2000.0,0.0,0.0,NaN
1,51,2000.0,0.0,0.0,NaN
1,52,2000.0,0.0,0.0,NaN
1,53,2000.0,0.0,0.0,NaN
1,54,2000.0,0.0,0.0,NaN
1,55,2000.0,0.0,0.0,NaN
1,56,2000.0,0.0,0.0,NaN
1,57,2000.0,0.0,0.0,NaN
1,58,2000.0,0.0,0.0,NaN
1,59,2000.0,0.0,0.0,NaN
1,60,2000.0,0.0,0.0,NaN
1,61,2000.0,0.0,0.0,NaN
1,62,2000.0,0.0,0.0,NaN
1,63,2000.0,0.0,0.0,NaN
1,64,2000.0,0.0,0.0,NaN
1,65,2000.0,0.0,0.0,NaN
1,66,2000.0,0.0,0.0,NaN
1,67,2000.0,0.0,0.0,NaN
1,68,2000.0,0.0,0.0,NaN
1,69,2000.0,0.0,0.0,NaN
1,70,2000.0,0.0,0.0,NaN
1,71,2000.0,0.0,0.0,NaN
1,72,2000.0,0.0,0.0,NaN
1,73,2000.0,0.0,0.0,NaN
1,74,2000.0,0.0,0.0,NaN
1,75,2000.0,0.0,0.0,NaN
1,76,2000.0,0.0,0.0,NaN
1,77,2000.0,0.0,0.0,NaN
1,78,2000.0,0.0,0.0,NaN
1,79,2000.0,0.0,0.0,NaN
1,80,2000.0,0.0,0.0,NaN
1,81,2000.0,0.0,0.0,NaN
1,82,2000.0,0.0,0.0,NaN
1,83,2000.0,0.0,0.0,NaN
1,84,2000.0,0.0,0.0,NaN
1,85,2000.0,0.0,0.0,NaN
1,86,2000.0,0.0,0.0,NaN
1,87,2000.0,0.0,0.0,NaN
1,88,2000.0,0.0,0.0,NaN
1,89,2000.0,0.0,0.0,NaN
1,90,2000.0,0.0,0.0,NaN
1,91,2000.0,0.0,0.0,NaN
1,92,2000.0,0.0,0.0,NaN
1,93,2000.0,0.0,0.0,NaN
1,94,2000.0,0.0,0.0,NaN
1,95,2000.0,0.0,0.0,NaN
1,96,2000.0,0.0,0.0,NaN
1,97,2000.0,0.0,0.0,NaN
1,98,2000.0,0.0,0.0,NaN
1,99,2000.0,0.0,0.0,NaN
1,100,2000.0,0.0,0.0,NaN
1,101,2000.0,0.0,0.0,NaN
1,102,2000.0,0.0,0.0,NaN
1,103,2000.0,0.0,0.0,NaN
1,104,2000.0,0.0,0.0,NaN
1,105,2000.0,0.0,0.0,NaN
1,106,2000.0,0.0,0.0,NaN
1,107,2000.0,0.0,0.0,NaN
1,108,2000.0,0.0,0.0,NaN
1,109,2000.0,0.0,0.0,NaN
1,110,2000.0,0.0,0.0,NaN
1,111,2000.0,0.0,0.0,NaN
1,112,2000.0,0.0,0.0,NaN
1,113,2000.0,0.0,0.0,NaN
1,114,2000.0,0.0,0.0,NaN
1,115,2000.0,0.0,0.0,NaN
1,116,2000.0,0.0,0.0,NaN
1,117,2000.0,0.0,0.0,NaN
1,118,2000.0,0.0,0.0,NaN
1,119,2000.0,0.0,0.0,NaN
1,120,2000.0,0.0,0.0,NaN
1,121,2000.0,0.0,0.0,NaN
1,122,2000.0,0.0,0.0,NaN
1,123,2000.0,0.0,0.0,NaN
1,124,2000.0,0.0,0.0,NaN
1,125,2000.0,0.0,0.0,NaN
1,126,2000.0,0.0,0.0,NaN
1,127,2000.0,0.0,0.0,NaN
1,128,2000.0,0.0,0.0,NaN
1,129,2000.0,0.0,0.0,NaN
1,130,2000.0,0.0,0.0,NaN
1,131,2000.0,0.0,0.0,NaN
1,132,2000.0,0.0,0.0,NaN
1,133,2000.0,0.0,0.0,NaN
1,134,2000.0,0.0,0.0,NaN
1,135,2000.0,0.0,0.0,NaN
1,136,2000.0,0.0,0.0,NaN
1,137,2000.0,0.0,0.0,NaN
1,138,2000.0,0.0,0.0,NaN
1,139,2000.0,0.0,0.0,NaN
1,140,2000.0,0.0,0.0,NaN
1,141,2000.0,0.0,0.0,NaN
1,142,2000.0,0.0,0.0,NaN
1,143,2000.0,0.0,0.0,NaN
1,144,2000.0,0.0,0.0,NaN
1,145,2000.0,0.0,0.0,NaN
1,146,2000.0,0.0,0.0,NaN
1,147,2000.0,0.0,0.0,NaN
1,148,2000.0,0.0,0.0,NaN
1,149,2000.0,0.0,0.0,NaN
1,150,2000.0,0.0,0.0,NaN
1,151,2000.0,0.0,0.0,NaN
1,152,2000.0,0.0,0.0,NaN
1,153,2000.0,0.0,0.0,NaN
1,154,2000.0,0.0,0.0,NaN
1,155,2000.0,0.0,0.0,NaN
1,156,2000.0,0.0,0.0,NaN
1,157,2000.0,0.0,0.0,NaN
1,158,2000.0,0.0,0.0,NaN
1,159,2000.0,0.0,0.0,NaN
1,160,2000.0,0.0,0.0,NaN
1,161,2000.0,0.0,0.0,NaN
1,162,2000.0,0.0,0.0,NaN
1,163,2000.0,0.0,0.0,NaN
1,164,2000.0,0.0,0.0,NaN
1,165,2000.0,0.0,0.0,NaN
1,166,2000.0,0.0,0.0,NaN
1,167,2000.0,0.0,0.0,NaN
1,168,2000.0,0.0,0.0,NaN
1,169,2000.0,0.0,0.0,NaN
1,170,2000.0,0.0,0.0,NaN
1,171,2000.0,0.0,0.0,NaN
1,172,2000.0,0.0,0.0,NaN
1,173,2000.0,0.0,0.0,NaN
1,174,2000.0,0.0,0.0,NaN
1,175,2000.0,0.0,0.0,NaN
1,176,2000.0,0.0,0.0,NaN
1,177,2000.0,0.0,0.0,NaN
1,178,2000.0,0.0,0.0,NaN
1,179,2000.0,0.0,0.0,NaN
1,180,2000.0,0.0,0.0,NaN
1,181,2000.0,0.0,0.0,NaN
1,182,2000.0,0.0,0.0,NaN
1,183,2000.0,0.0,0.0,NaN
1,184,2000.0,0.0,0.0,NaN
1,185,2000.0,0.0,0.0,NaN
1,186,2000.0,0.0,0.0,NaN
1,187,2000.0,0.0,0.0,NaN
1,188,2000.0,0.0,0.0,NaN
1,189,2000.0,0.0,0.0,NaN
1,190,2000.0,0.0,0.0,NaN
1,191,2000.0,0.0,0.0,NaN
1,192,2000.0,0.0,0.0,NaN
1,193,2000.0,0.0,0.0,NaN
1,194,2000.0,0.0,0.0,NaN
1,195,2000.0,0.0,0.0,NaN
1,196,2000.0,0.0,0.0,NaN
1,197,2000.0,0.0,0.0,NaN
1,198,2000.0,0.0,0.0,NaN
1,199,2000.0,0.0,0.0,NaN
1,200,2000.0,0.0,0.0,NaN
1,201,2000.0,0.0,0.0,NaN
1,202,2000.0,0.0,0.0,NaN
1,203,2000.0,0.0,0.0,NaN
1,204,2000.0,0.0,0.0,NaN
